model_type,step,input_length,accuracy,loss
RNN,530,5,0.796875,0.508491575717926
RNN,540,5,0.6796875,0.6245088577270508
RNN,550,5,0.828125,0.459696888923645
RNN,560,5,0.7890625,0.5284978151321411
RNN,570,5,0.6796875,0.5552541613578796
RNN,580,5,0.796875,0.5329972505569458
RNN,590,5,0.8125,0.407769113779068
RNN,600,5,0.5859375,0.9132787585258484
RNN,610,5,0.796875,0.49665477871894836
RNN,620,5,0.8125,0.4388817548751831
RNN,630,5,0.703125,0.5961887240409851
RNN,640,5,0.859375,0.36132100224494934
RNN,650,5,0.765625,0.518109142780304
RNN,660,5,0.8671875,0.35566022992134094
RNN,670,5,0.828125,0.36926305294036865
RNN,680,5,0.875,0.36178067326545715
RNN,690,5,0.8515625,0.45195499062538147
RNN,700,5,0.890625,0.33097848296165466
RNN,710,5,0.6953125,0.7272980809211731
RNN,720,5,0.890625,0.35865363478660583
RNN,730,5,0.75,0.5401167869567871
RNN,740,5,0.84375,0.37716129422187805
RNN,750,5,0.9375,0.2612263262271881
RNN,760,5,0.3828125,1.4230855703353882
RNN,770,5,0.90625,0.27897515892982483
RNN,780,5,0.8046875,0.38905027508735657
RNN,790,5,0.8828125,0.31895381212234497
RNN,800,5,0.828125,0.3550250828266144
RNN,810,5,0.6875,0.6686637997627258
RNN,820,5,0.9140625,0.2856133282184601
RNN,830,5,0.9609375,0.2478177696466446
RNN,840,5,0.8671875,0.3045884370803833
RNN,850,5,0.9375,0.2730407416820526
RNN,860,5,0.8671875,0.25911349058151245
RNN,870,5,0.734375,0.5280303359031677
RNN,880,5,0.640625,0.6352335214614868
RNN,890,5,0.9296875,0.24413740634918213
RNN,900,5,0.90625,0.323415070772171
RNN,910,5,0.890625,0.30853158235549927
RNN,920,5,0.9609375,0.19600646197795868
RNN,930,5,1.0,0.19258683919906616
RNN,940,5,0.7890625,0.3629533350467682
RNN,950,5,0.875,0.25623080134391785
RNN,960,5,0.8984375,0.21103514730930328
RNN,970,5,0.9921875,0.19070827960968018
RNN,980,5,0.9765625,0.14476974308490753
RNN,990,5,0.890625,0.30645039677619934
RNN,1000,5,0.8671875,0.25491783022880554
RNN,1010,5,0.9140625,0.22804449498653412
RNN,1020,5,0.8515625,0.28160834312438965
RNN,1030,5,0.96875,0.17209380865097046
RNN,1040,5,0.5234375,1.0208346843719482
RNN,1050,5,0.90625,0.19887743890285492
RNN,1060,5,0.703125,0.49320822954177856
RNN,1070,5,0.984375,0.15874506533145905
RNN,1080,5,0.9140625,0.19530054926872253
RNN,1090,5,0.984375,0.14188572764396667
RNN,1100,5,1.0,0.13632188737392426
RNN,1110,5,0.9140625,0.21852149069309235
RNN,1120,5,0.8984375,0.2516571879386902
RNN,1130,5,0.9140625,0.19025224447250366
RNN,1140,5,0.9609375,0.13360117375850677
RNN,1150,5,0.9609375,0.14919839799404144
RNN,1160,5,0.921875,0.17754103243350983
RNN,1170,5,1.0,0.10417591780424118
RNN,1180,5,1.0,0.0901910588145256
RNN,1190,5,0.5859375,1.313024878501892
RNN,1200,5,1.0,0.10703238844871521
RNN,1210,5,1.0,0.09431393444538116
RNN,1220,5,1.0,0.10259287804365158
RNN,1230,5,1.0,0.08056211471557617
RNN,1240,5,1.0,0.07257411628961563
RNN,1250,5,0.765625,0.5437011122703552
RNN,1260,5,0.984375,0.10174243897199631
RNN,1270,5,1.0,0.0771881490945816
RNN,1280,5,1.0,0.07374867051839828
RNN,1290,5,1.0,0.06228913366794586
RNN,1300,5,1.0,0.06167653203010559
RNN,1310,5,0.4609375,2.2242746353149414
RNN,1320,5,0.984375,0.10263258963823318
RNN,1330,5,1.0,0.07176060229539871
RNN,1340,5,1.0,0.05484640970826149
RNN,1350,5,1.0,0.05539194867014885
RNN,1360,5,1.0,0.04596251994371414
RNN,1370,5,0.4609375,1.789364218711853
RNN,1380,5,1.0,0.0713752955198288
RNN,1390,5,1.0,0.058217551559209824
RNN,1400,5,1.0,0.06041764095425606
RNN,1410,5,1.0,0.0538986511528492
RNN,1420,5,1.0,0.04762843996286392
RNN,1430,5,1.0,0.04918273165822029
RNN,1440,5,1.0,0.0446370504796505
