iter 46, train_loss_avg 2.7486856059825167, test_loss_avg 1.9278030395507812, train_acc 0.29666668176651, test_acc_avg 0.2979311183790366
iter 47, train_loss_avg 2.734140026072661, test_loss_avg 1.91722571849823, train_acc 0.27666667103767395, test_acc_avg 0.2954022298256556
iter 48, train_loss_avg 2.7176012846888327, test_loss_avg 1.8926886320114136, train_acc 0.32333335280418396, test_acc_avg 0.31292222915093104
iter 49, train_loss_avg 2.7011621379852295, test_loss_avg 1.9415615797042847, train_acc 0.3499999940395355, test_acc_avg 0.3013844516475995
iter 50, train_loss_avg 2.6871782541275024, test_loss_avg 1.8846349716186523, train_acc 0.3033333420753479, test_acc_avg 0.3136266734500726
iter 51, train_loss_avg 2.6728259921073914, test_loss_avg 1.881198525428772, train_acc 0.29333335161209106, test_acc_avg 0.31164889578024546
iter 52, train_loss_avg 2.658278035667707, test_loss_avg 1.9002677202224731, train_acc 0.3100000023841858, test_acc_avg 0.30626222934325537
iter 53, train_loss_avg 2.6453783490039684, test_loss_avg 1.8828788995742798, train_acc 0.2866666615009308, test_acc_avg 0.3044555631975333
iter 54, train_loss_avg 2.6316518978639083, test_loss_avg 1.8679567575454712, train_acc 0.30666667222976685, test_acc_avg 0.30760000709692636
iter 55, train_loss_avg 2.6183083823748996, test_loss_avg 1.8831534385681152, train_acc 0.2866666615009308, test_acc_avg 0.3047355625530084
iter 56, train_loss_avg 2.6057954963884855, test_loss_avg 1.8731187582015991, train_acc 0.30666667222976685, test_acc_avg 0.30975778514146807
iter 57, train_loss_avg 2.594578732704294, test_loss_avg 1.8685578107833862, train_acc 0.29333335161209106, test_acc_avg 0.31464222898085914
iter 58, train_loss_avg 2.583614179643534, test_loss_avg 1.876927137374878, train_acc 0.2666666805744171, test_acc_avg 0.3153777846992016
iter 59, train_loss_avg 2.5721054236094156, test_loss_avg 1.8718206882476807, train_acc 0.33000001311302185, test_acc_avg 0.3152200072606405
iter 60, train_loss_avg 2.5609390325233585, test_loss_avg 1.8700642585754395, train_acc 0.3033333420753479, test_acc_avg 0.3203822292884191
iter 61, train_loss_avg 2.5498298310464427, test_loss_avg 1.8504635095596313, train_acc 0.27666667103767395, test_acc_avg 0.32481111786762873
iter 62, train_loss_avg 2.5386516820816767, test_loss_avg 1.9267265796661377, train_acc 0.36000001430511475, test_acc_avg 0.3097755626241366
iter 63, train_loss_avg 2.52824130654335, test_loss_avg 1.8163385391235352, train_acc 0.36000001430511475, test_acc_avg 0.33508222888906797
iter 64, train_loss_avg 2.5168639916640063, test_loss_avg 1.9185638427734375, train_acc 0.3166666626930237, test_acc_avg 0.3040044520497322
iter 65, train_loss_avg 2.5075461214238945, test_loss_avg 1.9012237787246704, train_acc 0.33666667342185974, test_acc_avg 0.3113000067869822
iter 66, train_loss_avg 2.4981340757056847, test_loss_avg 1.8644517660140991, train_acc 0.3166666626930237, test_acc_avg 0.31730889572699866
iter 67, train_loss_avg 2.4892077866722557, test_loss_avg 1.8638629913330078, train_acc 0.26333335041999817, test_acc_avg 0.31378667362531026
iter 68, train_loss_avg 2.4808938935183096, test_loss_avg 1.8881044387817383, train_acc 0.28333333134651184, test_acc_avg 0.30967111826936405
iter 69, train_loss_avg 2.4721872125353133, test_loss_avg 1.8726321458816528, train_acc 0.3166666626930237, test_acc_avg 0.32414667373895645
iter 70, train_loss_avg 2.4629303435204735, test_loss_avg 1.8680192232131958, train_acc 0.3466666638851166, test_acc_avg 0.3258066735466321
iter 71, train_loss_avg 2.4548608793152704, test_loss_avg 1.8556500673294067, train_acc 0.34333333373069763, test_acc_avg 0.3300822293361028
iter 72, train_loss_avg 2.446189532541249, test_loss_avg 1.8412952423095703, train_acc 0.3499999940395355, test_acc_avg 0.33375556246439614
iter 73, train_loss_avg 2.4383434137782536, test_loss_avg 1.8478020429611206, train_acc 0.33666667342185974, test_acc_avg 0.33269111810127894
iter 74, train_loss_avg 2.430426246325175, test_loss_avg 1.8426318168640137, train_acc 0.30666667222976685, test_acc_avg 0.3347555624246597
iter 75, train_loss_avg 2.422001920248333, test_loss_avg 1.8319898843765259, train_acc 0.35333335399627686, test_acc_avg 0.3418333410422007
iter 76, train_loss_avg 2.4148920913795373, test_loss_avg 1.835499882698059, train_acc 0.32333335280418396, test_acc_avg 0.34213778499762215
iter 77, train_loss_avg 2.4066713559321866, test_loss_avg 1.822951316833496, train_acc 0.3499999940395355, test_acc_avg 0.34165778519709905
iter 78, train_loss_avg 2.3985569326183462, test_loss_avg 1.810519814491272, train_acc 0.3700000047683716, test_acc_avg 0.34119111837943394
iter 79, train_loss_avg 2.3916791558265684, test_loss_avg 1.7999199628829956, train_acc 0.3499999940395355, test_acc_avg 0.34353111797571184
iter 80, train_loss_avg 2.3829112832928883, test_loss_avg 1.8020341396331787, train_acc 0.36000001430511475, test_acc_avg 0.34588000718752543
iter 81, train_loss_avg 2.374562232959561, test_loss_avg 1.8283723592758179, train_acc 0.4266666769981384, test_acc_avg 0.34391556257009503
